# Type 1, Type 2, Tera Type, Score
ELC,DRK,DRK,62.8180969172
GRS,ICE,FRY,62.7578331238
ELC,GRD,DRK,62.6672215016
WTR,GRD,ELC,62.6357234696
FIR,GHT,FRY,62.6300050195
PSN,FRY,ELC,62.6049500257
GRS,GRD,ELC,62.5926009902
FIR,DRK,FRY,62.5648103959
BUG,GHT,GHT,62.5528079506
GRS,PSN,GRS,62.5473813635
GRS,FLY,FRY,62.5369880289
NRM,GRD,ELC,62.5088091607
GRD,---,ELC,62.5088091607
DRK,FRY,DRK,62.4392986339
PSN,RCK,ELC,62.4360168432
NRM,ELC,NRM,62.3679415011
FGT,FLY,GRD,62.3275327509
ELC,GHT,FRY,62.3261183550
PSN,PSY,ELC,62.3165845269
GRS,BUG,FRY,62.2907175239
ELC,DRK,FRY,62.2609237314
GRD,GHT,NRM,62.2437755476
FGT,BUG,ELC,62.2061712483
ICE,GRD,PSY,62.1933960282
FIR,ICE,FIR,62.1931924857
GRD,DRK,NRM,62.1785809240
NRM,FIR,NRM,62.1634447890
GRD,DRG,FGT,62.0740686633
PSN,GRD,PSY,62.0414915909
FGT,FRY,GRD,62.0365465500
PSN,BUG,BUG,62.0248911398
FIR,ELC,FRY,62.0100622686
PSY,FRY,PSY,61.8916524715
PSN,RCK,WTR,61.8219061461
PSY,DRG,PSY,61.8204226666
FGT,RCK,GRD,61.7819898857
FIR,FGT,ELC,61.6757518194
NRM,BUG,NRM,61.6682202789
RCK,FRY,GRD,61.5422158021
PSN,GHT,ELC,61.5370577147
BUG,DRK,DRK,61.5161867676
PSN,DRK,ELC,61.4414906255
WTR,PSN,GRD,61.4343820966
PSN,GRD,ICE,61.3605849500
ELC,GRD,NRM,61.3325409125
BUG,RCK,RCK,61.2964216557
GRS,PSN,GRD,61.2626764180
GRD,FRY,GHT,61.2350145404
FLY,DRG,FLY,61.2070737109
FIR,GRD,NRM,61.2057633641
ELC,PSY,PSN,61.2053460648
ICE,FGT,ELC,61.1852349209
FGT,FLY,WTR,61.1765751620
FIR,ICE,FRY,61.1334094819
FIR,BUG,FIR,61.0944840763
WTR,ICE,ICE,61.0802246428
PSN,GRD,FIR,61.0418396873
FLY,GHT,GRD,61.0415723887
ICE,DRG,ICE,61.0105377687
NRM,ICE,ICE,60.9818515084
FLY,DRK,GRD,60.9763777651
ICE,---,ICE,60.9435992544
FLY,PSY,PSY,60.9126084629
RCK,FRY,RCK,60.8807182643
PSY,BUG,BUG,60.8515682254
WTR,GRD,---,60.8387721986
FIR,WTR,FIR,60.7053959943
FGT,FRY,WTR,60.7020147902
GRD,BUG,FGT,60.7002879063
ELC,FRY,PSN,60.6817662810
PSN,GRD,FGT,60.6797425700
PSY,RCK,RCK,60.6662648949
FIR,GRD,---,60.6012358138
GHT,DRK,GHT,60.5613828059
RCK,GHT,PSN,60.5567657566
NRM,GHT,GHT,60.5512801571
ICE,FGT,NRM,60.5262593039
GRD,RCK,DRK,60.5189482430
FIR,FGT,PSN,60.5044239105
FGT,RCK,WTR,60.4985031695
RCK,GHT,GRD,60.4875503600
RCK,DRK,PSN,60.4472861561
PSN,FRY,WTR,60.4038296435
ELC,RCK,PSN,60.3649216918
WTR,FGT,PSN,60.3590557470
RCK,DRK,GRD,60.3579800518
GRD,BUG,NRM,60.3453258258
GRS,FRY,GRS,60.2952078947
FGT,PSN,NRM,60.2669511609
FGT,GRD,FIR,60.2442662008
GRS,PSY,FGT,60.1984362773
RCK,FRY,WTR,60.1483998212
GRD,FRY,FIR,60.1235831261
ELC,PSN,WTR,60.0892276677
PSY,DRK,DRK,60.0199877684
PSN,PSY,WTR,59.9836772865
FIR,DRK,DRK,59.9793742650
ICE,FGT,PSY,59.9088938302
ICE,FGT,GHT,59.8703506211
GRS,FGT,WTR,59.8633568133
FGT,PSN,PSY,59.8614000341
ICE,PSY,GRD,59.8511245549
GRS,PSY,PSN,59.8373981411
WTR,FGT,GRD,59.7918861722
ICE,FGT,WTR,59.7461115286
PSY,RCK,WTR,59.6721751269
FGT,DRG,PSN,59.6355459463
GRS,FGT,GRD,59.6201804936
WTR,FRY,GRD,59.6172316084
FGT,PSN,ICE,59.6115577473
PSN,PSY,GRD,59.5671661324
GRS,FGT,GRS,59.5656213104
FIR,DRG,FIR,59.5620033472
GRD,FRY,---,59.5388812120
GHT,---,GHT,59.4590510503
GRS,FRY,GRD,59.4455259298
FIR,FLY,FIR,59.3727532801
GRS,RCK,GHT,59.3695368471
GRD,FRY,DRK,59.3594626834
GRS,FLY,FGT,59.3521919838
ICE,PSY,FGT,59.3288234380
PSN,GHT,WTR,59.3128139446
RCK,FRY,ELC,59.2383648378
PSN,DRK,WTR,59.2172468554
GRD,GHT,FIR,59.2130812380
FGT,GRD,PSY,59.1882286157
FGT,GRD,WTR,59.1843883272
ELC,GRS,FRY,59.1314023484
NRM,PSY,PSY,59.1230711047
FGT,PSN,GHT,59.1009884422
GRD,DRK,FIR,59.0835109297
GRS,FGT,DRK,59.0418481438
NRM,FRY,NRM,59.0200543226
PSY,---,PSY,59.0150232684
ICE,RCK,GRD,58.9983991522
RCK,GHT,WTR,58.9705077579
WTR,GRS,FRY,58.9209830879
FIR,ELC,FIR,58.9166921304
ELC,PSN,GRD,58.8790387281
GRS,BUG,GRS,58.8746187260
FIR,ICE,GRD,58.8668492848
PSY,RCK,ELC,58.8540149180
RCK,DRK,WTR,58.8409374497
GRS,PSN,PSY,58.8256674524
PSN,FLY,FRY,58.8211649495
WTR,ICE,FRY,58.8196100069
ICE,RCK,RCK,58.7394560305
NRM,PSY,NRM,58.7129123671
PSN,BUG,FRY,58.6961190352
FIR,FLY,FLY,58.6750869807
PSN,RCK,GHT,58.6701070376
WTR,RCK,RCK,58.6612524002
NRM,FLY,FLY,58.6608614651
FLY,---,FLY,58.6608614651
GRS,RCK,RCK,58.6557874136
GRS,GHT,GRS,58.6365370214
WTR,FLY,FRY,58.6332729458
RCK,DRG,RCK,58.6009346844
GRS,DRK,GRS,58.5607432499
WTR,GHT,GRD,58.5562509479
FIR,PSN,GRD,58.5501890041
WTR,BUG,FRY,58.4830674837
WTR,DRK,GRD,58.4266806397
WTR,FGT,ELC,58.4206612850
ELC,FRY,WTR,58.4080742117
GRS,GHT,GRD,58.3845452693
GRS,FRY,PSN,58.3308549090
FIR,GRD,DRK,58.3009249711
GRS,DRK,GRD,58.2549749611
GRS,GRD,GRS,58.2546901706
FLY,RCK,FRY,58.2304012148
FIR,RCK,FRY,58.2288094614
GHT,FRY,ELC,58.2228773388
GRD,GHT,ICE,58.1593814535
DRK,FRY,ELC,58.1576827152
GRS,GRD,PSY,58.1544320276
WTR,GRD,GHT,58.1443575336
GRS,DRG,DRG,58.1059955610
GRD,DRK,ICE,58.0941868299
PSN,DRG,GRD,58.0556300648
FLY,RCK,PSN,58.0528753608
GRD,BUG,DRK,58.0342542167
RCK,GHT,ELC,58.0255535895
ELC,ICE,FRY,58.0190362729
FGT,PSY,GRD,57.9860489095
NRM,GRD,FGT,57.9813210790
FGT,DRG,DRG,57.9591038715
NRM,FLY,NRM,57.9495463075
RCK,DRK,ELC,57.8959832813
ELC,PSY,WTR,57.8839417499
PSY,GHT,ELC,57.8715358995
GRD,---,FGT,57.7949574255
PSY,DRK,ELC,57.7717296580
GRS,ICE,GRS,57.7346697399
GHT,FRY,WTR,57.5993347561
FGT,DRG,ELC,57.5772563873
PSN,FLY,ELC,57.5404432402
DRK,FRY,WTR,57.5341401325
DRG,DRK,DRK,57.4973475896
WTR,GRD,DRK,57.3653061884
PSN,GRD,BUG,57.3446622316
ELC,FGT,GRD,57.3093268762
FIR,PSY,PSN,57.2966624784
FLY,BUG,GRD,57.2635093380
WTR,PSY,FGT,57.2609461669
ELC,GHT,WTR,57.2577759566
GRS,PSN,GHT,57.2529757300
FGT,BUG,GRD,57.1836582287
PSY,GHT,WTR,57.1392495657
ELC,DRK,WTR,57.1282056484
ELC,FRY,GRD,57.0820831929
FGT,GRD,BUG,57.0815407878
GRS,FLY,GRS,57.0600533106
GRD,PSY,FRY,57.0516169089
ELC,FGT,DRK,57.0419454383
PSY,DRK,WTR,57.0394433242
NRM,GRD,FRY,57.0264742351
GRD,DRG,FRY,57.0264742351
GRD,---,FRY,57.0264742351
FIR,FGT,GRD,56.9741460682
BUG,FRY,GRD,56.9568796096
FIR,FRY,ELC,56.9357568214
PSN,GRD,---,56.8330965465
FIR,PSN,ELC,56.8042542309
FIR,FRY,PSN,56.7916440058
FIR,FRY,GRD,56.7699071633
GRS,GRD,BUG,56.7691278093
FLY,FRY,GRD,56.7473552220
PSN,BUG,ELC,56.7410729307
PSY,GHT,GRD,56.7357001652
FLY,RCK,RCK,56.6891997436
BUG,RCK,GRD,56.6794532295
ELC,RCK,RCK,56.6786542399
FIR,RCK,RCK,56.6691590815
NRM,RCK,RCK,56.6582366480
RCK,---,RCK,56.6582366480
FLY,DRK,DRK,56.6460821493
BUG,RCK,ELC,56.6450888158
PSY,DRK,GRD,56.6358939238
ICE,PSY,PSN,56.6253956051
GRD,PSY,GHT,56.6178469319
PSN,DRK,DRK,56.6136451192
ICE,PSN,PSY,56.5323658824
FIR,PSY,ELC,56.5155966904
FLY,GHT,ELC,56.5154967109
ELC,FLY,PSN,56.5130696788
PSY,BUG,ELC,56.5090342654
FGT,GHT,ICE,56.4762675448
WTR,FLY,FGT,56.4526880206
FLY,DRK,ELC,56.4503020873
FGT,DRG,GRD,56.4430241429
FGT,BUG,BUG,56.4420854263
FGT,DRK,ICE,56.4110729212
GRD,RCK,ICE,56.3226240936
BUG,RCK,PSN,56.2815442166
FIR,GRD,ICE,56.2003257307
FIR,PSN,WTR,56.1874127040
WTR,FGT,DRK,56.1822920150
PSY,FRY,PSN,56.1231204039
WTR,DRG,DRG,56.1067827863
GRD,FRY,NRM,56.0614026029
PSY,GHT,PSN,56.0597212128
ELC,GHT,GRD,56.0411217874
ELC,GRD,PSY,56.0270040874
PSY,DRK,PSN,56.0051483528
