# Type 1, Type 2, Tera Type, Score
GRS,BUG,WTR,67.3553636448
PSN,GHT,GHT,67.3390176918
FGT,DRG,WTR,67.3223711753
FIR,GRD,GRD,67.2976472138
GRS,ICE,FGT,67.1871272361
GHT,FRY,GHT,67.0967492472
GRS,GRD,DRK,67.0943909332
FIR,FLY,FIR,67.0515666382
WTR,GRD,GRD,66.9383187707
ICE,FGT,FRY,66.9054218000
GRS,PSN,STL,66.8678087288
GRD,PSY,GRD,66.8274641182
FIR,PSY,PSY,66.8145426783
GRS,GRD,GRD,66.8134520721
FIR,DRG,FIR,66.7529509605
GRS,DRK,FLY,66.7474239944
GRS,GHT,FLY,66.7381468986
FIR,STL,FIR,66.7342806196
ICE,PSN,PSN,66.7125145782
RCK,FRY,STL,66.6353969168
GRS,ICE,FLY,66.6144816794
WTR,GRS,FRY,66.6037066631
PSY,RCK,PSY,66.5950520758
GRS,GRD,FRY,66.5903248374
DRG,DRK,STL,66.5729543050
GHT,DRG,STL,66.4618901210
FGT,FLY,PSN,66.3471972778
ICE,FGT,GHT,66.3307995726
ICE,GRD,GHT,66.2329666667
GRD,GHT,WTR,66.1410576905
GRS,RCK,PSY,66.1017046266
GRD,DRK,WTR,66.0753567137
ICE,FGT,PSY,66.0241975870
FIR,FLY,STL,65.8411964896
FIR,PSN,STL,65.8264997435
DRK,FRY,WTR,65.8066484787
WTR,GRS,FGT,65.8045814589
GHT,FRY,WTR,65.7973713829
FIR,WTR,STL,65.7952525306
PSN,DRK,STL,65.7879343291
RCK,FRY,PSN,65.7467455461
NRM,FIR,STL,65.7036752467
FIR,---,STL,65.7036752467
PSN,GHT,STL,65.6768701451
WTR,GRD,STL,65.6258152362
GRS,ICE,ICE,65.6254478480
GRS,PSN,WTR,65.6157853447
ICE,RCK,FRY,65.5727764009
FIR,ICE,WTR,65.5332454247
GRD,PSY,STL,65.5328720899
GRD,DRG,GRD,65.5116740371
WTR,DRK,DRK,65.4607652991
FGT,RCK,FLY,65.4512488957
NRM,GRD,STL,65.4476939790
GRD,---,STL,65.4476939790
FIR,DRK,DRK,65.3962243464
ICE,FRY,STL,65.3843273980
ICE,STL,FRY,65.3512854927
ICE,GRD,WTR,65.3301071647
ICE,RCK,STL,65.2945500530
WTR,RCK,FRY,65.2310906979
