# Type 1, Type 2, Tera Type, Score
ELC,ICE,STL,62.7185773181
GRD,BUG,FRY,62.6926539170
WTR,FGT,STL,62.6822152360
ELC,STL,---,62.6560015176
PSN,FLY,PSN,62.6091136281
NRM,FGT,STL,62.6088257482
FGT,---,STL,62.6088257482
ICE,FLY,FGT,62.5957381878
GRD,FRY,NRM,62.5417060061
FGT,FLY,PSN,62.5192967843
PSY,BUG,PSY,62.5178439445
ELC,FRY,WTR,62.4951304688
GRD,STL,FGT,62.4914499709
FIR,FGT,GRD,62.4565175981
FIR,GRS,FIR,62.4099525817
NRM,GRD,FGT,62.4085046134
FIR,FGT,WTR,62.4074429225
GRD,STL,PSY,62.4064286426
WTR,DRK,FRY,62.3643477796
WTR,GHT,FRY,62.3577439226
NRM,WTR,NRM,62.3519885165
FGT,DRG,ELC,62.3496250598
FIR,---,FIR,62.3313185048
FIR,GRD,DRK,62.3286067755
FGT,BUG,GRD,62.2984973976
WTR,FGT,FRY,62.2764468834
ICE,STL,ICE,62.2697438712
ICE,DRK,FRY,62.2654440659
GRD,---,FGT,62.2602988416
ICE,GHT,FRY,62.2588402089
RCK,STL,GRD,62.2260933598
ELC,GHT,GRD,62.1614947690
ELC,FGT,FRY,62.1502425163
FGT,BUG,BUG,62.1402014906
FGT,BUG,WTR,62.1171515940
PSN,RCK,GRD,62.1160205029
ELC,DRK,GRD,62.1046564005
WTR,RCK,GRD,62.0822213343
ELC,PSY,STL,62.0661612704
WTR,GRD,NRM,62.0316664925
GRS,RCK,GRD,62.0190075091
GRD,BUG,FIR,62.0092250542
FIR,RCK,STL,62.0087092515
ICE,GRD,FIR,61.9782935096
BUG,GHT,GHT,61.9290652713
FGT,DRG,GRD,61.9035595638
FGT,DRK,FRY,61.9028734139
FGT,GHT,FRY,61.8962695569
GRD,FRY,WTR,61.8934177465
ICE,RCK,FGT,61.8777902099
BUG,DRK,STL,61.8652446318
WTR,ICE,GRD,61.8508288062
ELC,ICE,GRD,61.8362647132
GRS,ICE,GRD,61.8055793561
FLY,DRK,STL,61.7957152138
BUG,GHT,STL,61.7906317638
WTR,PSN,PSN,61.7738358396
NRM,ICE,GRD,61.7269452793
ICE,DRG,GRD,61.7269452793
ICE,---,GRD,61.7269452793
GRS,ICE,ICE,61.7215616165
ICE,PSN,PSN,61.7202876238
ELC,ICE,ICE,61.7047437000
FLY,GHT,STL,61.7044871574
FIR,GHT,GRD,61.7031538844
BUG,STL,GRD,61.6958977408
BUG,GHT,GRD,61.6752037733
ICE,FGT,FLY,61.6532058520
FLY,DRG,FLY,61.6479790352
FIR,DRK,GRD,61.6463155158
GHT,STL,---,61.6242199516
FGT,DRG,WTR,61.6125912930
BUG,DRK,GRD,61.6017502163
WTR,FGT,DRK,61.5941157816
PSN,BUG,GRD,61.5449537544
WTR,BUG,GRD,61.5217272740
FIR,GHT,WTR,61.5153406161
RCK,FRY,WTR,61.4789564428
FIR,DRK,WTR,61.4585022475
PSN,GRD,PSY,61.4046789593
GRS,BUG,GRD,61.3767710892
FGT,FRY,PSN,61.3756481157
GRS,FGT,NRM,61.2525511567
ELC,GRD,DRG,61.2362409971
ICE,DRK,ICE,61.2315016829
ICE,GHT,ICE,61.2276386742
FIR,PSY,WTR,61.1965159521
GHT,DRG,GRD,61.1474009097
ELC,FGT,DRK,61.1439915661
DRG,DRK,GRD,61.0905625411
PSY,DRK,STL,61.0892580802
ELC,GRD,WTR,61.0708760969
PSY,GHT,STL,60.9980300238
WTR,STL,FRY,60.9886565753
PSY,DRK,DRK,60.9804297986
GRS,FRY,GRS,60.9654732240
FIR,DRG,STL,60.9105976342
ELC,STL,FRY,60.8874962312
WTR,STL,GRD,60.8750566668
DRK,STL,DRK,60.8684371261
GRD,STL,FIR,60.8656370780
GRD,FLY,NRM,60.8281241346
PSN,GRD,FIR,60.8270081276
PSY,GHT,PSY,60.8169217708
FGT,GRD,BUG,60.8163204854
WTR,PSN,GRD,60.8077769079
GRD,FLY,DRG,60.8010795313
PSY,DRK,PSY,60.7967640024
DRK,FRY,WTR,60.7811181423
GHT,FRY,WTR,60.7745142854
GRS,STL,GRD,60.7709716116
GRS,DRK,FGT,60.7382024767
GRS,GHT,FGT,60.7174865159
FGT,GRD,DRG,60.7165529442
GRS,FGT,FLY,60.7131035473
GRS,PSN,GRD,60.6628207231
BUG,RCK,STL,60.6147776962
DRK,STL,FRY,60.5834574202
NRM,STL,NRM,60.5581324313
ELC,RCK,FRY,60.5545324211
GHT,STL,FRY,60.5164161949
WTR,GRD,PSN,60.4625702364
ICE,GRD,BUG,60.4565732391
PSN,STL,PSN,60.4455360045
PSY,BUG,BUG,60.4345430274
ICE,RCK,ICE,60.4106865406
FIR,ICE,ICE,60.3753926888
ICE,GRD,FLY,60.3445677526
FIR,WTR,FRY,60.3270842717
WTR,FRY,FGT,60.3249450883
NRM,GRD,PSN,60.3213436168
GRD,---,PSN,60.3213436168
ELC,RCK,STL,60.3185077433
